,value
rsi_period,10
stoch_k_period,20
stoch_d_period,4
stoch_smooth_k,2
bb_period,14
bb_num_std,1.7559945203362028
macd_fast,8
macd_slow,31
macd_signal,8
sma_period,248
use_macd_filter,False
use_sma_filter,False
bb_width_min,0.0036509069155144526
use_percentiles,True
rsi_buy_below,25.824582803960837
rsi_sell_above,72.23705789444759
stoch_buy_below,13.487346516301045
stoch_sell_above,72.30361621338045
bb_buy_below,-0.0053455262682523316
bb_sell_above,0.9982427993686814
roll_window,591
rsi_low_q,0.18993475643167193
rsi_high_q,0.7528468876827223
stoch_low_q,0.26848291377240846
stoch_high_q,0.6592900825439996
bb_low_q,0.27150897038028765
bb_high_q,0.6841048247374584
vol_window,14
vol_max,0.05795542149013333
min_hold_bars,2
cooldown_bars,1
session_start,7
session_length,18
trade_weekends,True
long_sl_pct,0.016052912831401964
long_tp_pct,0.029005718515235052
short_sl_pct,0.009025477935559734
short_tp_pct,0.031069134129172636
max_short_pct,0.010316556334565519
